ID_CONTA,Acumulado,Valor Médio,Atrasou,DS_ROLAGEM
1258846,3,846.995,4,FX1
1259136,3,1209.025,4,FX1
1260052,4,672.325,4,FX1
1260268,4,388.105,4,FX1
1260612,3,481,4,FX1
1261356,3,128.76500000000001,4,FX1
1263891,4,375.66499999999996,4,FX1
1263930,3,497.66999999999996,4,FX1
1264981,4,961.5550000000001,4,FX1
1265099,4,338.775,4,FX1
1265272,4,559.165,4,FX1
1265522,4,465.61,4,FX1
1265742,3,1672.51,4,FX1
1266264,4,553.84,4,FX1
1266395,4,614.43,4,FX1
1266580,3,534.4399999999999,4,FX1
1266877,4,566.665,4,FX1
1267004,3,124.93,4,FX1
1267646,3,337.83,4,FX1
1267944,3,383.96500000000003,4,FX1
1269183,4,545.075,4,FX1
1269187,4,1726.37,4,FX1
1269241,3,814.765,4,FX1
1270864,4,603.53,4,FX1
1271347,3,460.8,4,FX1
1271621,4,431.475,4,FX1
1272280,4,810.9300000000001,4,FX1
1273690,4,470.71,4,FX1
1273839,4,660.585,4,FX1
1273850,4,635.175,4,FX1
1274933,3,614.715,4,FX1
1275015,3,1203.4,4,FX1
1275312,4,751.2850000000001,4,FX1
1275446,3,603.46,4,FX1
1275531,4,498.27,4,FX1
1275677,4,621.56,4,FX1
1275774,3,302.45000000000005,4,FX1
1275818,4,394.385,4,FX1
1276941,4,347.87,4,FX1
1277180,3,1313.8000000000002,4,FX1
1277352,3,752.755,4,FX1
1277763,4,513.3299999999999,4,FX1
1277931,3,213.015,4,FX1
1278169,4,540.0550000000001,4,FX1
1278568,4,810.7,4,FX1
1278625,4,801.89,4,FX1
1278897,3,72.995,4,FX1
1279466,4,956.31,4,FX1
1280048,3,434.48,4,FX1
1280494,4,249.815,4,FX1
1281040,3,574.5899999999999,4,FX1
1281407,4,687.425,4,FX1
1281418,4,415.69,4,FX1
1281664,3,533.81,4,FX1
1282552,4,619.0550000000001,4,FX1
1282627,3,470.69,4,FX1
1282812,3,241.135,4,FX1
1284188,3,417.765,4,FX1
1284651,4,778.34,4,FX1
1284959,3,877.535,4,FX1
1285482,4,720.3,4,FX1
1285518,3,82.50999999999999,4,FX1
1285925,4,711.885,4,FX1
1286368,3,1500.94,4,FX1
1286565,3,560.77,4,FX1
1287002,3,1063.2150000000001,4,FX1
1287333,4,527.55,4,FX1
1287954,3,556.865,4,FX1
1288531,4,635.2149999999999,4,FX1
1288792,3,1002.17,4,FX1
1289730,3,862.395,4,FX1
1290693,3,769.685,4,FX1
1291045,4,586.7950000000001,4,FX1
1291483,4,507.335,4,FX1
1291674,3,204.815,4,FX1
1291805,3,324.025,4,FX1
1292016,4,839.4000000000001,4,FX1
1292451,4,214.46,4,FX1
1292830,3,472.57500000000005,4,FX1
1293013,3,546.97,4,FX1
1293103,3,1534.135,4,FX1
1294502,4,1430.28,4,FX1
1296279,3,658.39,4,FX1
1296741,4,334,4,FX1
1297147,4,391.57,4,FX1
