Ano,Trimestre,Mês,Dia,DIVIDA_ATUAL,ID_CONTA,NU_DIAS_ATRASO,Questão 2 - Base 2.QTD_PARCELAMENTO_12M,Questão 2 - Base 2.QTD_PARCELAMENTO_3M,Questão 2 - Base 2.QTD_PARCELAMENTO_6M,Questão 2 - Base 3.LIMITE,Questão 2 - Base 5.QTD_ACIONAMENTO_1M,Questão 2 - Base 5.QTD_ACIONAMENTO_10D,Questão 2 - Base 5.QTD_ACIONAMENTO_3M,Questão 2 - Base 5.QTD_ACIONAMENTO_6M,Questão 2 - Base 5.QTD_CP_10D,Questão 2 - Base 5.QTD_CP_1M,Questão 2 - Base 5.QTD_CP_3M,Questão 2 - Base 5.QTD_CP_6M,Questão 2 - Base 5.QTD_CPC_10D,Questão 2 - Base 5.QTD_CPC_1M,Questão 2 - Base 5.QTD_CPC_3M,Questão 2 - Base 5.QTD_CPC_6M,RESPOSTA,RESPOSTA - Copiar,VALOR_CRELIQ
2018,Trim 4,novembro,22,7236.08,1324405,1608,0,0,0,3776,80,76,156,432,0,0,0,0,0,0,0,0,0,0,5262.08
2018,Trim 4,novembro,22,1120.78,1324417,257,0,0,0,270,1,0,1,1,0,0,0,0,0,0,0,0,0,0,731.04
2018,Trim 4,novembro,22,1147.08,1324427,311,0,0,0,270,12,10,16,52,0,0,0,0,0,0,0,0,0,0,673.7
2018,Trim 4,novembro,22,1509.33,1324546,242,0,0,0,225,11,1,80,107,0,0,2,3,0,0,0,1,0,0,1013.58
2018,Trim 4,novembro,22,615.51,1324554,181,0,0,0,270,12,5,12,12,0,0,0,0,0,0,0,0,0,0,465.34
2018,Trim 4,novembro,22,928.76,1324558,196,0,0,0,337,4,0,46,129,0,0,0,1,0,0,0,0,0,0,682
2018,Trim 4,novembro,22,1098.44,1324561,221,1,1,1,303,5,2,7,8,0,1,1,1,0,0,0,0,1,1,768.36
2018,Trim 4,novembro,22,12654.08,1324585,2776,0,0,0,2696,80,52,148,268,0,0,0,0,0,0,0,0,0,0,6930.08
2018,Trim 4,novembro,22,29170.26,1324614,5157,0,0,0,7290,189,72,621,927,0,9,18,18,0,0,0,0,0,0,21629.16
2018,Trim 4,novembro,22,60547.77,1324635,6939,0,0,0,14553,270,54,567,936,0,0,9,18,0,0,0,0,0,0,39493.17
2018,Trim 4,novembro,22,721.7,1324641,242,0,0,0,674,4,3,25,106,0,0,0,0,0,0,0,0,0,0,484.65
2018,Trim 4,novembro,22,1279.51,1324648,301,1,1,1,270,0,0,1,4,0,0,0,0,0,0,0,0,0,0,766.21
2018,Trim 4,novembro,22,93258.54,1324713,6939,0,0,0,33237,261,108,540,1008,0,0,18,18,0,0,0,0,0,0,60829.11
2018,Trim 4,novembro,22,1066.81,1324791,290,0,0,0,404,3,2,3,3,0,0,0,0,0,0,0,0,0,0,652.64
2018,Trim 4,novembro,22,2350.22,1324803,306,0,0,0,539,14,10,14,14,0,0,0,0,0,0,0,0,0,0,1393.8
2018,Trim 4,novembro,22,617.8,1324815,316,0,0,0,292,0,0,2,3,0,0,0,0,0,0,0,0,0,0,359.34
2018,Trim 4,novembro,22,1081.19,1324831,270,0,0,0,270,0,0,1,6,0,0,0,0,0,0,0,0,1,1,687.64
2018,Trim 4,novembro,22,804.08,1324866,191,0,0,0,292,3,1,4,4,1,1,1,1,0,0,0,0,0,0,596.2
2018,Trim 4,novembro,22,811.55,1324867,321,0,0,0,225,0,0,0,2,0,0,0,0,0,0,0,0,0,0,467.47
2018,Trim 4,novembro,22,21100.32,1324930,1728,0,0,0,8424,20,0,76,200,0,0,8,8,0,0,0,0,0,0,14903.84
2018,Trim 4,novembro,22,1701.01,1325028,301,0,0,0,270,6,1,68,72,0,0,0,0,0,0,0,1,0,0,1018.63
2018,Trim 4,novembro,22,968.66,1325075,337,0,0,0,270,11,0,110,170,0,0,2,7,0,0,0,2,0,0,540.9
2018,Trim 4,novembro,22,922.78,1325103,201,0,0,0,364,23,10,115,118,1,2,7,8,0,0,2,3,0,0,671.06
2018,Trim 4,novembro,22,751.94,1325105,196,0,0,0,270,12,10,12,12,0,0,0,0,0,0,0,0,0,0,552.16
2018,Trim 4,novembro,22,1242.67,1325143,332,0,0,0,270,1,0,1,1,0,0,0,0,0,0,0,0,0,0,700.67
2018,Trim 4,novembro,22,1200.07,1325146,311,0,0,0,360,0,0,0,1,0,0,0,0,0,0,0,0,0,0,704.82
2018,Trim 4,novembro,22,913.6,1325154,191,0,0,0,351,12,9,48,210,0,0,0,0,0,0,0,0,0,0,677.4
2018,Trim 4,novembro,22,89340.03,1325186,8397,0,0,0,24273,171,36,468,864,0,0,0,0,0,0,0,0,0,0,52470.99
2018,Trim 4,novembro,22,1205.06,1325196,301,0,0,0,292,0,0,0,2,0,0,0,0,0,0,0,0,0,0,721.63
2018,Trim 4,novembro,22,1087.85,1325218,201,0,0,0,536,2,1,69,160,0,0,0,0,0,0,0,0,0,0,791.1
2018,Trim 4,novembro,22,1593.84,1325255,301,1,1,1,438,1,1,55,269,0,0,0,0,0,0,0,0,0,0,954.45
2018,Trim 4,novembro,22,4416.36,1325267,1204,0,0,0,1080,24,12,72,104,0,0,0,0,0,0,0,0,0,0,2644.68
2018,Trim 4,novembro,22,1122.93,1325284,181,0,0,0,683,6,0,19,159,0,0,1,1,0,0,0,1,0,0,848.96
2018,Trim 4,novembro,22,458.01,1325312,270,0,0,0,225,1,0,1,7,0,0,0,0,0,0,0,0,0,0,291.29
2018,Trim 4,novembro,22,6393.92,1325380,1976,0,0,0,3952,4,0,48,72,0,0,0,0,0,0,0,0,0,0,4252.32
2018,Trim 4,novembro,22,1354.99,1325404,270,0,0,0,270,4,4,4,13,0,0,0,0,0,0,0,0,0,0,861.78
2018,Trim 4,novembro,22,135203.58,1325411,6669,0,0,0,45495,594,36,2529,3600,0,0,0,0,0,0,0,0,0,0,89918.1
2018,Trim 4,novembro,22,959.99,1325449,290,1,1,1,270,0,0,95,111,0,0,2,2,0,0,0,0,0,0,587.29
2018,Trim 4,novembro,22,1925.02,1325457,347,0,0,0,679,4,3,4,4,0,0,0,0,0,0,0,0,0,0,1054.25
2018,Trim 4,novembro,22,1112.57,1325464,191,0,0,0,449,1,0,3,134,0,0,0,0,0,0,0,0,0,0,824.94
2018,Trim 4,novembro,22,1889.81,1325540,235,0,0,0,270,2,0,109,122,0,0,0,0,0,0,0,1,0,0,1286.47
2018,Trim 4,novembro,22,832.57,1325579,285,1,1,1,270,4,2,61,61,0,0,0,0,0,0,0,0,0,0,514.31
2018,Trim 4,novembro,22,1266.11,1325590,285,1,1,1,270,0,0,0,4,0,0,0,0,0,0,0,0,0,0,782.12
